tz,electric_power,EP_1_DAY_AGo,EP_1_Week_AGo,EP_4_Weeks_AGo,EP_Next_hour,electric_power_rolling_avg_one_day,electric_power_rolling_avg_one_week
2017-02-14 12:30,28.22930257,29.35123615,28.22885836,0,27.62103505,21.63835985,0
2017-02-14 13:30,27.62103505,29.00209899,32.17441865,0,28.05274086,21.63453378,0
2017-02-14 14:30,28.05274086,28.28506013,29.74374869,0,27.17554263,21.62134654,0
2017-02-14 15:30,27.17554263,28.73856853,29.41076768,0,29.51130472,21.60161119,0
2017-02-14 16:30,29.51130472,29.80718291,32.94423498,0,27.03732593,21.58007715,0
2017-02-14 17:30,27.03732593,27.12268502,30.05049284,0,21.86216124,21.55726763,0
2017-02-14 18:30,21.86216124,20.71885889,25.21553125,0,18.32882784,21.52905398,0
2017-02-14 19:30,18.32882784,18.67962759,22.31414743,0,17.85001653,21.50901288,0
2017-02-14 20:30,17.85001653,18.43552337,18.86616006,0,16.49116722,21.50871768,0
2017-02-14 21:30,16.49116722,16.71463602,17.05951416,0,16.42606566,21.50497157,0
2017-02-14 22:30,16.42606566,16.57123829,16.69633038,0,17.29912793,21.50416331,0
2017-02-14 23:30,17.29912793,17.46476897,16.64394762,0,17.15739752,21.50415661,0
2017-02-15 0:30,17.15739752,17.52154023,16.76749744,0,16.88230613,21.50548523,0
2017-02-15 1:30,16.88230613,16.90923651,16.69320136,0,17.05186778,21.50219515,0
2017-02-15 2:30,17.05186778,16.49255832,16.49696211,0,17.34972629,21.49876174,0
2017-02-15 3:30,17.34972629,16.79434785,16.59595401,0,17.28404313,21.49725066,0
2017-02-15 4:30,17.28404313,22.93309601,17.49711617,0,17.76446825,21.49003338,0
2017-02-15 5:30,17.76446825,24.14110612,16.93680531,0,16.52693628,21.49395879,0
2017-02-15 6:30,16.52693628,19.65312828,17.23692547,0,21.05899293,21.47115832,0
2017-02-15 7:30,21.05899293,22.53319771,20.48193884,0,27.52211542,21.46406549,0
2017-02-15 8:30,27.52211542,29.35999851,26.88917982,0,27.00476147,21.46620079,0
2017-02-15 9:30,27.00476147,30.25005908,27.23250376,0,29.8800995,21.47005367,0
2017-02-15 10:30,29.8800995,29.57681828,27.05536592,0,26.62919864,21.46413902,0
2017-02-15 11:30,26.62919864,28.65533911,26.3939477,0,27.13800337,21.46529277,0
2017-02-15 12:30,27.13800337,28.22930257,26.19958427,0,27.99415758,21.46529541,0
2017-02-15 13:30,27.99415758,27.62103505,27.19754991,0,27.7499942,21.43819194,0
2017-02-15 14:30,27.7499942,28.05274086,28.14867062,0,27.82392646,21.42812642,0
2017-02-15 15:30,27.82392646,27.17554263,27.85854495,0,28.74259883,21.41482151,0
2017-02-15 16:30,28.74259883,29.51130472,30.17812805,0,29.62211725,21.3943874,0
2017-02-15 17:30,29.62211725,27.03732593,28.97073782,0,26.69740656,21.37645188,0
2017-02-15 18:30,26.69740656,21.86216124,25.95139262,0,20.23857056,21.35649134,0
2017-02-15 19:30,20.23857056,18.32882784,19.3536585,0,17.73130795,21.3327692,0
2017-02-15 20:30,17.73130795,17.85001653,19.0353825,0,16.41974806,21.32672073,0
2017-02-15 21:30,16.41974806,16.49116722,16.77639129,0,17.49507162,21.32333771,0
2017-02-15 22:30,17.49507162,16.42606566,16.80216723,0,16.88131863,21.32172899,0
2017-02-15 23:30,16.88131863,17.29912793,16.59004811,0,16.46221488,21.32562888,0
2017-02-16 0:30,16.46221488,17.15739752,17.89780116,0,17.45375342,21.32794971,0
2017-02-16 1:30,17.45375342,16.88230613,17.38900257,0,16.91743094,21.32907534,0
2017-02-16 2:30,16.91743094,17.05186778,17.17964803,0,16.98672299,21.33237835,0
2017-02-16 3:30,16.98672299,17.34972629,16.87328946,0,17.29397603,21.33686508,0
2017-02-16 4:30,17.29397603,17.28404313,16.79080562,0,16.6948028,21.33559679,0
2017-02-16 5:30,16.6948028,17.76446825,17.32248281,0,16.87066311,21.34052336,0
2017-02-16 6:30,16.87066311,16.52693628,17.95967965,0,21.34931929,21.33629723,0
2017-02-16 7:30,21.34931929,21.05899293,24.33102669,0,24.93242272,21.33973208,0
2017-02-16 8:30,24.93242272,27.52211542,31.37585662,0,27.36528258,21.34349955,0
2017-02-16 9:30,27.36528258,27.00476147,31.28738471,0,26.56065974,21.34214394,0
2017-02-16 10:30,26.56065974,29.8800995,32.11597183,0,25.94652916,21.35895783,0
2017-02-16 11:30,25.94652916,26.62919864,31.42984596,0,27.22479434,21.36035814,0
2017-02-16 12:30,27.22479434,27.13800337,32.57733328,0,27.96596293,21.36594396,0
2017-02-16 13:30,27.96596293,27.99415758,33.65053429,0,27.97447639,21.37068568,0
2017-02-16 14:30,27.97447639,27.7499942,32.88567177,0,25.92473133,21.3683126,0
2017-02-16 15:30,25.92473133,27.82392646,35.17675432,0,27.2925161,21.36810654,0
2017-02-16 16:30,27.2925161,28.74259883,36.05535602,0,28.49335541,21.35956172,0
2017-02-16 17:30,28.49335541,29.62211725,31.77156644,0,22.16928694,21.36343898,0
2017-02-16 18:30,22.16928694,26.69740656,26.94054052,0,18.93970516,21.36787954,0
2017-02-16 19:30,18.93970516,20.23857056,21.56497926,0,18.34112019,21.37314687,0
2017-02-16 20:30,18.34112019,17.73130795,18.55210831,0,17.54946381,21.36538453,0
2017-02-16 21:30,17.54946381,16.41974806,16.60999196,0,16.96961801,21.36326165,0
2017-02-16 22:30,16.96961801,17.49507162,17.38672465,0,16.69553968,21.36738608,0
2017-02-16 23:30,16.69553968,16.88131863,17.12190249,0,17.80676598,21.36911983,0
2017-02-17 0:30,17.80676598,16.46221488,17.01412639,0,17.15305412,21.36057468,0
2017-02-17 1:30,17.15305412,17.45375342,16.76487509,0,16.7199637,21.3609601,0
2017-02-17 2:30,16.7199637,16.91743094,16.54375751,0,17.30244431,21.35939928,0
2017-02-17 3:30,17.30244431,16.98672299,18.00675026,0,23.75248675,21.36007448,0
2017-02-17 4:30,23.75248675,17.29397603,23.25367129,0,23.3791607,21.36306954,0
2017-02-17 5:30,23.3791607,16.6948028,24.53077273,0,17.24645061,21.35933335,0
2017-02-17 6:30,17.24645061,16.87066311,19.03147503,0,20.3908803,21.35285111,0
2017-02-17 7:30,20.3908803,21.34931929,23.53491624,0,25.41831545,21.33510285,0
2017-02-17 8:30,25.41831545,24.93242272,32.74566798,0,26.08519535,21.29674908,0
2017-02-17 9:30,26.08519535,27.36528258,34.32283541,0,25.88178422,21.27340324,0
2017-02-17 10:30,25.88178422,26.56065974,34.06806957,0,26.20525844,21.2403359,0
2017-02-17 11:30,26.20525844,25.94652916,34.21043798,0,26.46544695,21.20769711,0
2017-02-17 12:30,26.46544695,27.22479434,32.54572785,0,26.2186868,21.17583676,0
2017-02-17 13:30,26.2186868,27.96596293,31.50740607,0,26.70034851,21.14200003,0
2017-02-17 14:30,26.70034851,27.97447639,30.88260396,0,27.3761656,21.11276672,0
2017-02-17 15:30,27.3761656,25.92473133,32.36101409,0,30.9575482,21.05769515,0
2017-02-17 16:30,30.9575482,27.2925161,34.42947634,0,31.61881492,21.00553539,0
2017-02-17 17:30,31.61881492,28.49335541,28.43349123,0,24.39849158,20.98602223,0
